192.168.150.1 - - [03/Oct/2025:17:34:32 +0000] "POST /dt/api/v1/user/login HTTP/1.1" 200 924 "https://localhost:57821/dt/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.933 upstream_response_time=0.933
192.168.150.1 - - [03/Oct/2025:17:34:32 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost:57821/dt/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.075 upstream_response_time=0.075
192.168.150.1 - - [03/Oct/2025:17:34:33 +0000] "GET /dt/api/v1/metrics/portfolio/90/days HTTP/1.1" 200 807 "https://localhost:57821/dt/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.080 upstream_response_time=0.080
192.168.150.1 - - [03/Oct/2025:17:34:36 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost:57821/dt/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.018 upstream_response_time=0.018
192.168.150.1 - - [03/Oct/2025:17:34:36 +0000] "GET /dt/api/v1/configProperty/public/access-management/acl.enabled HTTP/1.1" 200 194 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.009 upstream_response_time=0.009
192.168.150.1 - - [03/Oct/2025:17:34:36 +0000] "GET /dt/api/v1/metrics/portfolio/90/days HTTP/1.1" 200 807 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.020 upstream_response_time=0.021
192.168.150.1 - - [03/Oct/2025:17:34:36 +0000] "GET /dt/api/v1/team/visible HTTP/1.1" 200 288 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.063 upstream_response_time=0.063
192.168.150.1 - - [03/Oct/2025:17:34:36 +0000] "GET /dt/api/v1/project?excludeInactive=true&onlyRoot=true&searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 2 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.078 upstream_response_time=0.079
192.168.150.1 - - [03/Oct/2025:17:34:37 +0000] "GET /dt/api/v1/license/concise HTTP/1.1" 200 160104 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.054 upstream_response_time=0.054
192.168.150.1 - - [03/Oct/2025:17:34:44 +0000] "PUT /dt/api/v1/project HTTP/1.1" 201 177 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.148 upstream_response_time=0.148
192.168.150.1 - - [03/Oct/2025:17:34:44 +0000] "GET /dt/api/v1/project?excludeInactive=true&onlyRoot=true&searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 179 "https://localhost:57821/dt/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.029 upstream_response_time=0.029
192.168.150.1 - - [03/Oct/2025:17:34:47 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.015 upstream_response_time=0.015
192.168.150.1 - - [03/Oct/2025:17:34:47 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.014 upstream_response_time=0.014
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9 HTTP/1.1" 200 252 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.041 upstream_response_time=0.041
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/metrics/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9/days/90 HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.030 upstream_response_time=0.030
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/service/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9?searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.041 upstream_response_time=0.041
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/finding/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9?source=NVD&suppressed=false&searchText= HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.071 upstream_response_time=0.071
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/violation/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9?suppressed=false&searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.058 upstream_response_time=0.058
